 R(m), ne(m^-3), ni(m^_3), B_T (T) , B_P (T),  B(T), Sfac, T(keV), Pressure
  1.532259E+00  2.231843E+01  6.514633E+05
  1.104331E+00  9.960563E+19  8.312326E+19
  2.103848E+00  4.191747E-01  2.145200E+00
  1.548329E+00  2.196393E+01  6.326949E+05
  1.114331E+00  9.901700E+19  8.264079E+19
  2.067298E+00  4.589652E-01  2.117633E+00
  1.564745E+00  2.157424E+01  6.125717E+05
  1.124331E+00  9.838133E+19  8.211481E+19
  2.031448E+00  4.990335E-01  2.091845E+00
  1.581315E+00  2.114953E+01  5.912320E+05
  1.134331E+00  9.770058E+19  8.154581E+19
  1.996214E+00  5.392357E-01  2.067763E+00
  1.599258E+00  2.069023E+01  5.688318E+05
  1.144331E+00  9.697709E+19  8.093463E+19
  1.961509E+00  5.794388E-01  2.045304E+00
  1.617959E+00  2.019709E+01  5.455416E+05
  1.154331E+00  9.621355E+19  8.028240E+19
  1.927251E+00  6.195252E-01  2.024378E+00
  1.637655E+00  1.967110E+01  5.215418E+05
  1.164331E+00  9.541291E+19  7.959057E+19
  1.893339E+00  6.593954E-01  2.004878E+00
  1.658295E+00  1.911354E+01  4.970183E+05
  1.174331E+00  9.457832E+19  7.886082E+19
  1.859701E+00  6.989758E-01  1.986720E+00
  1.679218E+00  1.852594E+01  4.721581E+05
  1.184331E+00  9.371306E+19  7.809511E+19
  1.826263E+00  7.382245E-01  1.969825E+00
  1.699903E+00  1.791005E+01  4.471444E+05
  1.194331E+00  9.282039E+19  7.729551E+19
  1.792944E+00  7.771306E-01  1.954119E+00
  1.720394E+00  1.726783E+01  4.221530E+05
  1.204331E+00  9.190353E+19  7.646425E+19
  1.759664E+00  8.157159E-01  1.939539E+00
  1.739546E+00  1.660143E+01  3.973485E+05
  1.214331E+00  9.096550E+19  7.560356E+19
  1.726337E+00  8.540313E-01  1.926035E+00
  1.756654E+00  1.591318E+01  3.728814E+05
  1.224331E+00  9.000903E+19  7.471566E+19
  1.692875E+00  8.921531E-01  1.913573E+00
  1.771018E+00  1.520555E+01  3.488867E+05
  1.234331E+00  8.903644E+19  7.380257E+19
  1.659187E+00  9.301762E-01  1.902138E+00
  1.781866E+00  1.448117E+01  3.254826E+05
  1.244331E+00  8.804941E+19  7.286603E+19
  1.625149E+00  9.682032E-01  1.891699E+00
  1.788593E+00  1.374283E+01  3.027696E+05
  1.254331E+00  8.704880E+19  7.190723E+19
  1.590600E+00  1.006330E+00  1.882208E+00
  1.790410E+00  1.299350E+01  2.808319E+05
  1.264331E+00  8.603422E+19  7.092655E+19
  1.555549E+00  1.044632E+00  1.873763E+00
  1.787796E+00  1.223639E+01  2.597371E+05
  1.274331E+00  8.500349E+19  6.992303E+19
  1.519917E+00  1.083154E+00  1.866379E+00
  1.780997E+00  1.147495E+01  2.395381E+05
